"citizen","geo","time","values"
"AD","AT",2015-12-31,0
"AD","BE",2015-12-31,0
"AD","BG",2015-12-31,0
"AD","CH",2015-12-31,0
"AD","CY",2015-12-31,0
"AD","CZ",2015-12-31,0
"AD","DE",2015-12-31,0
"AD","DK",2015-12-31,0
"AD","EE",2015-12-31,0
"AD","EL",2015-12-31,0
"AD","ES",2015-12-31,0
"AD","EU28",2015-12-31,0
"AD","FI",2015-12-31,0
"AD","FR",2015-12-31,0
"AD","HR",2015-12-31,0
"AD","HU",2015-12-31,0
"AD","IE",2015-12-31,0
"AD","IS",2015-12-31,0
"AD","IT",2015-12-31,0
"AD","LI",2015-12-31,0
"AD","LT",2015-12-31,0
"AD","LU",2015-12-31,0
"AD","LV",2015-12-31,0
"AD","MT",2015-12-31,0
"AD","NL",2015-12-31,0
"AD","NO",2015-12-31,0
"AD","PL",2015-12-31,0
"AD","PT",2015-12-31,0
"AD","RO",2015-12-31,0
"AD","SE",2015-12-31,0
"AD","SI",2015-12-31,0
"AD","SK",2015-12-31,0
"AD","TOTAL",2015-12-31,0
"AD","UK",2015-12-31,0
"AE","AT",2015-12-31,0
"AE","BE",2015-12-31,0
"AE","BG",2015-12-31,0
"AE","CH",2015-12-31,0
"AE","CY",2015-12-31,0
"AE","CZ",2015-12-31,0
"AE","DE",2015-12-31,5
"AE","DK",2015-12-31,0
"AE","EE",2015-12-31,0
"AE","EL",2015-12-31,0
"AE","ES",2015-12-31,0
"AE","EU28",2015-12-31,30
"AE","FI",2015-12-31,5
"AE","FR",2015-12-31,0
"AE","HR",2015-12-31,0
"AE","HU",2015-12-31,10
"AE","IE",2015-12-31,0
"AE","IS",2015-12-31,0
"AE","IT",2015-12-31,0
"AE","LI",2015-12-31,0
"AE","LT",2015-12-31,0
"AE","LU",2015-12-31,0
"AE","LV",2015-12-31,0
"AE","MT",2015-12-31,0
"AE","NL",2015-12-31,5
"AE","NO",2015-12-31,0
"AE","PL",2015-12-31,0
"AE","PT",2015-12-31,0
"AE","RO",2015-12-31,0
