"partner","geo","time","values","decision"
"AT","AT",2015-12-31,0,"ACC"
"AT","BG",2015-12-31,997,"ACC"
"AT","CH",2015-12-31,98,"ACC"
"AT","CY",2015-12-31,5,"ACC"
"AT","DE",2015-12-31,361,"ACC"
"AT","EE",2015-12-31,3,"ACC"
"AT","EL",2015-12-31,1,"ACC"
"AT","FI",2015-12-31,5,"ACC"
"AT","FR",2015-12-31,89,"ACC"
"AT","IE",2015-12-31,0,"ACC"
"AT","IT",2015-12-31,956,"ACC"
"AT","LI",2015-12-31,1,"ACC"
"AT","LU",2015-12-31,1,"ACC"
"AT","LV",2015-12-31,2,"ACC"
"AT","MT",2015-12-31,4,"ACC"
"AT","NO",2015-12-31,24,"ACC"
"AT","PL",2015-12-31,369,"ACC"
"AT","PT",2015-12-31,3,"ACC"
"AT","RO",2015-12-31,35,"ACC"
"AT","SE",2015-12-31,13,"ACC"
"AT","SI",2015-12-31,57,"ACC"
"AT","SK",2015-12-31,29,"ACC"
"BE","AT",2015-12-31,81,"ACC"
"BE","BG",2015-12-31,128,"ACC"
"BE","CH",2015-12-31,61,"ACC"
"BE","CY",2015-12-31,1,"ACC"
"BE","DE",2015-12-31,774,"ACC"
"BE","EE",2015-12-31,12,"ACC"
"BE","EL",2015-12-31,2,"ACC"
"BE","FI",2015-12-31,8,"ACC"
"BE","FR",2015-12-31,517,"ACC"
"BE","IE",2015-12-31,0,"ACC"
"BE","IT",2015-12-31,569,"ACC"
"BE","LI",2015-12-31,0,"ACC"
"BE","LU",2015-12-31,3,"ACC"
"BE","LV",2015-12-31,4,"ACC"
"BE","MT",2015-12-31,20,"ACC"
"BE","NO",2015-12-31,24,"ACC"
"BE","PL",2015-12-31,208,"ACC"
"BE","PT",2015-12-31,13,"ACC"
"BE","RO",2015-12-31,6,"ACC"
"BE","SE",2015-12-31,27,"ACC"
"BE","SI",2015-12-31,3,"ACC"
"BE","SK",2015-12-31,19,"ACC"
"BG","AT",2015-12-31,1,"ACC"
"BG","BG",2015-12-31,0,"ACC"
"BG","CH",2015-12-31,0,"ACC"
"BG","CY",2015-12-31,0,"ACC"
"BG","DE",2015-12-31,12,"ACC"
"BG","EE",2015-12-31,0,"ACC"
"BG","EL",2015-12-31,0,"ACC"
"BG","FI",2015-12-31,0,"ACC"
"BG","FR",2015-12-31,1,"ACC"
"BG","IE",2015-12-31,0,"ACC"
"BG","IT",2015-12-31,4,"ACC"
"BG","LI",2015-12-31,0,"ACC"
"BG","LU",2015-12-31,0,"ACC"
"BG","LV",2015-12-31,0,"ACC"
"BG","MT",2015-12-31,0,"ACC"
"BG","NO",2015-12-31,0,"ACC"
"BG","PL",2015-12-31,2,"ACC"
"BG","PT",2015-12-31,0,"ACC"
"BG","RO",2015-12-31,0,"ACC"
"BG","SE",2015-12-31,0,"ACC"
"BG","SI",2015-12-31,0,"ACC"
"BG","SK",2015-12-31,0,"ACC"
"CH","AT",2015-12-31,200,"ACC"
"CH","BG",2015-12-31,139,"ACC"
"CH","CH",2015-12-31,0,"ACC"
"CH","CY",2015-12-31,2,"ACC"
"CH","DE",2015-12-31,1028,"ACC"
"CH","EE",2015-12-31,10,"ACC"
"CH","EL",2015-12-31,48,"ACC"
"CH","FI",2015-12-31,18,"ACC"
"CH","FR",2015-12-31,389,"ACC"
"CH","IE",2015-12-31,0,"ACC"
"CH","IT",2015-12-31,3741,"ACC"
"CH","LI",2015-12-31,0,"ACC"
"CH","LU",2015-12-31,4,"ACC"
"CH","LV",2015-12-31,14,"ACC"
"CH","MT",2015-12-31,29,"ACC"
"CH","NO",2015-12-31,35,"ACC"
"CH","PL",2015-12-31,102,"ACC"
"CH","PT",2015-12-31,15,"ACC"
"CH","RO",2015-12-31,10,"ACC"
"CH","SE",2015-12-31,35,"ACC"
"CH","SI",2015-12-31,7,"ACC"
"CH","SK",2015-12-31,15,"ACC"
"CY","AT",2015-12-31,0,"ACC"
"CY","BG",2015-12-31,0,"ACC"
"CY","CH",2015-12-31,0,"ACC"
"CY","CY",2015-12-31,0,"ACC"
"CY","DE",2015-12-31,8,"ACC"
"CY","EE",2015-12-31,0,"ACC"
"CY","EL",2015-12-31,0,"ACC"
"CY","FI",2015-12-31,0,"ACC"
"CY","FR",2015-12-31,2,"ACC"
"CY","IE",2015-12-31,0,"ACC"
"CY","IT",2015-12-31,1,"ACC"
"CY","LI",2015-12-31,0,"ACC"
"CY","LU",2015-12-31,0,"ACC"
"CY","LV",2015-12-31,0,"ACC"
"CY","MT",2015-12-31,0,"ACC"
"CY","NO",2015-12-31,1,"ACC"
"CY","PL",2015-12-31,0,"ACC"
"CY","PT",2015-12-31,0,"ACC"
"CY","RO",2015-12-31,0,"ACC"
"CY","SE",2015-12-31,3,"ACC"
"CY","SI",2015-12-31,0,"ACC"
"CY","SK",2015-12-31,0,"ACC"
"CZ","AT",2015-12-31,36,"ACC"
"CZ","BG",2015-12-31,39,"ACC"
"CZ","CH",2015-12-31,6,"ACC"
"CZ","CY",2015-12-31,0,"ACC"
"CZ","DE",2015-12-31,11,"ACC"
"CZ","EE",2015-12-31,6,"ACC"
"CZ","EL",2015-12-31,0,"ACC"
"CZ","FI",2015-12-31,1,"ACC"
"CZ","FR",2015-12-31,11,"ACC"
"CZ","IE",2015-12-31,0,"ACC"
"CZ","IT",2015-12-31,24,"ACC"
"CZ","LI",2015-12-31,0,"ACC"
"CZ","LU",2015-12-31,0,"ACC"
"CZ","LV",2015-12-31,1,"ACC"
"CZ","MT",2015-12-31,0,"ACC"
"CZ","NO",2015-12-31,0,"ACC"
