"partner","geo","time","values","decision"
"AT","AT",2015-12-31,0,"ACC"
"AT","BE",2015-12-31,64,"ACC"
"AT","BG",2015-12-31,2,"ACC"
"AT","CH",2015-12-31,155,"ACC"
"AT","DE",2015-12-31,894,"ACC"
"AT","DK",2015-12-31,91,"ACC"
"AT","EE",2015-12-31,0,"ACC"
"AT","EL",2015-12-31,9,"ACC"
"AT","EU28",2015-12-31,1615,"ACC"
"AT","FI",2015-12-31,61,"ACC"
"AT","FR",2015-12-31,149,"ACC"
"AT","HR",2015-12-31,0,"ACC"
"AT","IE",2015-12-31,4,"ACC"
"AT","IS",2015-12-31,0,"ACC"
"AT","IT",2015-12-31,6,"ACC"
"AT","LI",2015-12-31,1,"ACC"
"AT","LU",2015-12-31,7,"ACC"
"AT","LV",2015-12-31,0,"ACC"
"AT","MT",2015-12-31,0,"ACC"
"AT","NL",2015-12-31,47,"ACC"
"AT","NO",2015-12-31,65,"ACC"
"AT","PL",2015-12-31,4,"ACC"
"AT","PT",2015-12-31,0,"ACC"
"AT","RO",2015-12-31,3,"ACC"
"AT","SE",2015-12-31,149,"ACC"
"AT","SI",2015-12-31,2,"ACC"
"AT","SK",2015-12-31,4,"ACC"
"AT","TOTAL",2015-12-31,1836,"ACC"
"AT","UK",2015-12-31,119,"ACC"
"BE","AT",2015-12-31,32,"ACC"
"BE","BE",2015-12-31,0,"ACC"
"BE","BG",2015-12-31,0,"ACC"
"BE","CH",2015-12-31,70,"ACC"
"BE","DE",2015-12-31,618,"ACC"
"BE","DK",2015-12-31,19,"ACC"
"BE","EE",2015-12-31,0,"ACC"
"BE","EL",2015-12-31,20,"ACC"
"BE","EU28",2015-12-31,1230,"ACC"
"BE","FI",2015-12-31,11,"ACC"
"BE","FR",2015-12-31,301,"ACC"
"BE","HR",2015-12-31,0,"ACC"
"BE","IE",2015-12-31,2,"ACC"
"BE","IS",2015-12-31,0,"ACC"
"BE","IT",2015-12-31,8,"ACC"
"BE","LI",2015-12-31,0,"ACC"
"BE","LU",2015-12-31,14,"ACC"
"BE","LV",2015-12-31,1,"ACC"
"BE","MT",2015-12-31,1,"ACC"
"BE","NL",2015-12-31,104,"ACC"
"BE","NO",2015-12-31,13,"ACC"
"BE","PL",2015-12-31,6,"ACC"
"BE","PT",2015-12-31,1,"ACC"
"BE","RO",2015-12-31,1,"ACC"
"BE","SE",2015-12-31,34,"ACC"
"BE","SI",2015-12-31,1,"ACC"
"BE","SK",2015-12-31,0,"ACC"
"BE","TOTAL",2015-12-31,1313,"ACC"
"BE","UK",2015-12-31,56,"ACC"
"BG","AT",2015-12-31,1184,"ACC"
"BG","BE",2015-12-31,141,"ACC"
"BG","BG",2015-12-31,0,"ACC"
"BG","CH",2015-12-31,158,"ACC"
"BG","DE",2015-12-31,1623,"ACC"
"BG","DK",2015-12-31,137,"ACC"
"BG","EE",2015-12-31,0,"ACC"
"BG","EL",2015-12-31,11,"ACC"
"BG","EU28",2015-12-31,3878,"ACC"
"BG","FI",2015-12-31,81,"ACC"
"BG","FR",2015-12-31,226,"ACC"
"BG","HR",2015-12-31,2,"ACC"
"BG","IE",2015-12-31,1,"ACC"
"BG","IS",2015-12-31,0,"ACC"
"BG","IT",2015-12-31,26,"ACC"
"BG","LI",2015-12-31,2,"ACC"
"BG","LU",2015-12-31,0,"ACC"
"BG","LV",2015-12-31,0,"ACC"
"BG","MT",2015-12-31,2,"ACC"
"BG","NL",2015-12-31,30,"ACC"
"BG","NO",2015-12-31,95,"ACC"
"BG","PL",2015-12-31,1,"ACC"
"BG","PT",2015-12-31,0,"ACC"
"BG","RO",2015-12-31,28,"ACC"
"BG","SE",2015-12-31,161,"ACC"
"BG","SI",2015-12-31,3,"ACC"
"BG","SK",2015-12-31,6,"ACC"
"BG","TOTAL",2015-12-31,4133,"ACC"
"BG","UK",2015-12-31,215,"ACC"
"CH","AT",2015-12-31,94,"ACC"
"CH","BE",2015-12-31,45,"ACC"
"CH","BG",2015-12-31,0,"ACC"
"CH","CH",2015-12-31,0,"ACC"
"CH","DE",2015-12-31,472,"ACC"
"CH","DK",2015-12-31,122,"ACC"
"CH","EE",2015-12-31,0,"ACC"
"CH","EL",2015-12-31,62,"ACC"
"CH","EU28",2015-12-31,1069,"ACC"
"CH","FI",2015-12-31,23,"ACC"
"CH","FR",2015-12-31,97,"ACC"
"CH","HR",2015-12-31,0,"ACC"
"CH","IE",2015-12-31,7,"ACC"
"CH","IS",2015-12-31,0,"ACC"
"CH","IT",2015-12-31,3,"ACC"
"CH","LI",2015-12-31,9,"ACC"
"CH","LU",2015-12-31,8,"ACC"
"CH","LV",2015-12-31,1,"ACC"
"CH","MT",2015-12-31,0,"ACC"
"CH","NL",2015-12-31,27,"ACC"
"CH","NO",2015-12-31,29,"ACC"
"CH","PL",2015-12-31,1,"ACC"
"CH","PT",2015-12-31,0,"ACC"
"CH","RO",2015-12-31,0,"ACC"
"CH","SE",2015-12-31,88,"ACC"
"CH","SI",2015-12-31,0,"ACC"
"CH","SK",2015-12-31,0,"ACC"
"CH","TOTAL",2015-12-31,1107,"ACC"
"CH","UK",2015-12-31,19,"ACC"
"CY","AT",2015-12-31,3,"ACC"
"CY","BE",2015-12-31,1,"ACC"
"CY","BG",2015-12-31,0,"ACC"
"CY","CH",2015-12-31,1,"ACC"
"CY","DE",2015-12-31,23,"ACC"
"CY","DK",2015-12-31,10,"ACC"
"CY","EE",2015-12-31,0,"ACC"
"CY","EL",2015-12-31,1,"ACC"
"CY","EU28",2015-12-31,64,"ACC"
"CY","FI",2015-12-31,2,"ACC"
"CY","FR",2015-12-31,2,"ACC"
"CY","HR",2015-12-31,0,"ACC"
"CY","IE",2015-12-31,0,"ACC"
"CY","IS",2015-12-31,0,"ACC"
"CY","IT",2015-12-31,0,"ACC"
"CY","LI",2015-12-31,0,"ACC"
"CY","LU",2015-12-31,0,"ACC"
"CY","LV",2015-12-31,0,"ACC"
"CY","MT",2015-12-31,0,"ACC"
"CY","NL",2015-12-31,5,"ACC"
"CY","NO",2015-12-31,4,"ACC"
"CY","PL",2015-12-31,0,"ACC"
"CY","PT",2015-12-31,0,"ACC"
"CY","RO",2015-12-31,4,"ACC"
"CY","SE",2015-12-31,5,"ACC"
"CY","SI",2015-12-31,0,"ACC"
"CY","SK",2015-12-31,0,"ACC"
"CY","TOTAL",2015-12-31,69,"ACC"
"CY","UK",2015-12-31,8,"ACC"
"CZ","AT",2015-12-31,46,"ACC"
"CZ","BE",2015-12-31,40,"ACC"
"CZ","BG",2015-12-31,0,"ACC"
"CZ","CH",2015-12-31,28,"ACC"
"CZ","DE",2015-12-31,161,"ACC"
"CZ","DK",2015-12-31,9,"ACC"
"CZ","EE",2015-12-31,0,"ACC"
"CZ","EL",2015-12-31,1,"ACC"
"CZ","EU28",2015-12-31,389,"ACC"
"CZ","FI",2015-12-31,10,"ACC"
"CZ","FR",2015-12-31,43,"ACC"
"CZ","HR",2015-12-31,1,"ACC"
"CZ","IE",2015-12-31,0,"ACC"
"CZ","IS",2015-12-31,0,"ACC"
"CZ","IT",2015-12-31,0,"ACC"
"CZ","LI",2015-12-31,0,"ACC"
"CZ","LU",2015-12-31,1,"ACC"
"CZ","LV",2015-12-31,0,"ACC"
"CZ","MT",2015-12-31,0,"ACC"
"CZ","NL",2015-12-31,9,"ACC"
"CZ","NO",2015-12-31,8,"ACC"
"CZ","PL",2015-12-31,1,"ACC"
"CZ","PT",2015-12-31,3,"ACC"
"CZ","RO",2015-12-31,0,"ACC"
"CZ","SE",2015-12-31,56,"ACC"
"CZ","SI",2015-12-31,2,"ACC"
"CZ","SK",2015-12-31,1,"ACC"
"CZ","TOTAL",2015-12-31,425,"ACC"
"CZ","UK",2015-12-31,5,"ACC"
"DE","AT",2015-12-31,341,"ACC"
"DE","BE",2015-12-31,663,"ACC"
"DE","BG",2015-12-31,11,"ACC"
"DE","CH",2015-12-31,916,"ACC"
"DE","DE",2015-12-31,0,"ACC"
"DE","DK",2015-12-31,467,"ACC"
"DE","EE",2015-12-31,2,"ACC"
"DE","EL",2015-12-31,415,"ACC"
"DE","EU28",2015-12-31,6487,"ACC"
"DE","FI",2015-12-31,277,"ACC"
"DE","FR",2015-12-31,947,"ACC"
"DE","HR",2015-12-31,1,"ACC"
"DE","IE",2015-12-31,7,"ACC"
"DE","IS",2015-12-31,17,"ACC"
"DE","IT",2015-12-31,11,"ACC"
"DE","LI",2015-12-31,2,"ACC"
"DE","LU",2015-12-31,93,"ACC"
"DE","LV",2015-12-31,0,"ACC"
"DE","MT",2015-12-31,4,"ACC"
"DE","NL",2015-12-31,1654,"ACC"
"DE","NO",2015-12-31,615,"ACC"
"DE","PL",2015-12-31,70,"ACC"
"DE","PT",2015-12-31,5,"ACC"
"DE","RO",2015-12-31,6,"ACC"
"DE","SE",2015-12-31,1355,"ACC"
"DE","SI",2015-12-31,4,"ACC"
"DE","SK",2015-12-31,2,"ACC"
"DE","TOTAL",2015-12-31,8037,"ACC"
"DE","UK",2015-12-31,152,"ACC"
"DK","AT",2015-12-31,8,"ACC"
"DK","BE",2015-12-31,23,"ACC"
"DK","BG",2015-12-31,0,"ACC"
"DK","CH",2015-12-31,19,"ACC"
"DK","DE",2015-12-31,217,"ACC"
"DK","DK",2015-12-31,0,"ACC"
"DK","EE",2015-12-31,0,"ACC"
"DK","EL",2015-12-31,2,"ACC"
"DK","EU28",2015-12-31,615,"ACC"
"DK","FI",2015-12-31,71,"ACC"
"DK","FR",2015-12-31,42,"ACC"
"DK","HR",2015-12-31,0,"ACC"
"DK","IE",2015-12-31,0,"ACC"
"DK","IS",2015-12-31,2,"ACC"
"DK","IT",2015-12-31,0,"ACC"
"DK","LI",2015-12-31,0,"ACC"
"DK","LU",2015-12-31,2,"ACC"
"DK","LV",2015-12-31,0,"ACC"
"DK","MT",2015-12-31,0,"ACC"
"DK","NL",2015-12-31,21,"ACC"
"DK","NO",2015-12-31,34,"ACC"
"DK","PL",2015-12-31,2,"ACC"
"DK","PT",2015-12-31,0,"ACC"
"DK","RO",2015-12-31,1,"ACC"
"DK","SE",2015-12-31,208,"ACC"
"DK","SI",2015-12-31,0,"ACC"
"DK","SK",2015-12-31,0,"ACC"
"DK","TOTAL",2015-12-31,670,"ACC"
"DK","UK",2015-12-31,18,"ACC"
"EE","AT",2015-12-31,3,"ACC"
"EE","BE",2015-12-31,8,"ACC"
"EE","BG",2015-12-31,0,"ACC"
"EE","CH",2015-12-31,10,"ACC"
"EE","DE",2015-12-31,46,"ACC"
"EE","DK",2015-12-31,4,"ACC"
"EE","EE",2015-12-31,0,"ACC"
"EE","EL",2015-12-31,2,"ACC"
"EE","EU28",2015-12-31,111,"ACC"
"EE","FI",2015-12-31,20,"ACC"
"EE","FR",2015-12-31,9,"ACC"
"EE","HR",2015-12-31,0,"ACC"
"EE","IE",2015-12-31,0,"ACC"
"EE","IS",2015-12-31,0,"ACC"
"EE","IT",2015-12-31,0,"ACC"
"EE","LI",2015-12-31,0,"ACC"
"EE","LU",2015-12-31,0,"ACC"
"EE","LV",2015-12-31,0,"ACC"
"EE","MT",2015-12-31,0,"ACC"
"EE","NL",2015-12-31,4,"ACC"
"EE","NO",2015-12-31,2,"ACC"
"EE","PL",2015-12-31,1,"ACC"
"EE","PT",2015-12-31,2,"ACC"
"EE","RO",2015-12-31,0,"ACC"
"EE","SE",2015-12-31,12,"ACC"
"EE","SI",2015-12-31,0,"ACC"
"EE","SK",2015-12-31,0,"ACC"
"EE","TOTAL",2015-12-31,123,"ACC"
"EE","UK",2015-12-31,0,"ACC"
"EL","AT",2015-12-31,1,"ACC"
"EL","BE",2015-12-31,4,"ACC"
"EL","BG",2015-12-31,0,"ACC"
"EL","CH",2015-12-31,48,"ACC"
"EL","DE",2015-12-31,0,"ACC"
"EL","DK",2015-12-31,0,"ACC"
"EL","EE",2015-12-31,0,"ACC"
"EL","EL",2015-12-31,0,"ACC"
"EL","EU28",2015-12-31,7,"ACC"
"EL","FI",2015-12-31,0,"ACC"
