"partner","geo","time","values"
"AT","AT",2015-12-31,0
"AT","BE",2015-12-31,65
"AT","BG",2015-12-31,1481
"AT","CH",2015-12-31,233
"AT","CY",2015-12-31,12
"AT","DE",2015-12-31,464
"AT","DK",2015-12-31,22
"AT","EE",2015-12-31,3
"AT","EL",2015-12-31,2
"AT","EU28",2015-12-31,5220
"AT","FI",2015-12-31,15
"AT","FR",2015-12-31,127
"AT","HR",2015-12-31,511
"AT","IE",2015-12-31,2
"AT","IS",2015-12-31,0
"AT","IT",2015-12-31,1355
"AT","LI",2015-12-31,1
"AT","LT",2015-12-31,29
"AT","LU",2015-12-31,9
"AT","LV",2015-12-31,3
"AT","MT",2015-12-31,7
"AT","NL",2015-12-31,63
"AT","NO",2015-12-31,47
"AT","PL",2015-12-31,424
"AT","PT",2015-12-31,4
"AT","RO",2015-12-31,58
"AT","SE",2015-12-31,36
"AT","SI",2015-12-31,451
"AT","SK",2015-12-31,38
"AT","TOTAL",2015-12-31,5501
"AT","UK",2015-12-31,39
"BE","AT",2015-12-31,193
"BE","BE",2015-12-31,0
"BE","BG",2015-12-31,232
"BE","CH",2015-12-31,129
"BE","CY",2015-12-31,3
"BE","DE",2015-12-31,883
"BE","DK",2015-12-31,46
"BE","EE",2015-12-31,14
"BE","EL",2015-12-31,5
"BE","EU28",2015-12-31,3424
"BE","FI",2015-12-31,10
"BE","FR",2015-12-31,584
"BE","HR",2015-12-31,7
"BE","IE",2015-12-31,1
"BE","IS",2015-12-31,0
"BE","IT",2015-12-31,776
"BE","LI",2015-12-31,0
"BE","LT",2015-12-31,51
"BE","LU",2015-12-31,5
"BE","LV",2015-12-31,10
"BE","MT",2015-12-31,19
"BE","NL",2015-12-31,146
"BE","NO",2015-12-31,36
"BE","PL",2015-12-31,271
"BE","PT",2015-12-31,23
"BE","RO",2015-12-31,16
"BE","SE",2015-12-31,74
"BE","SI",2015-12-31,7
"BE","SK",2015-12-31,15
"BE","TOTAL",2015-12-31,3589
"BE","UK",2015-12-31,33
"BG","AT",2015-12-31,5
"BG","BE",2015-12-31,1
"BG","BG",2015-12-31,0
"BG","CH",2015-12-31,2
"BG","CY",2015-12-31,1
"BG","DE",2015-12-31,26
"BG","DK",2015-12-31,2
"BG","EE",2015-12-31,0
"BG","EL",2015-12-31,0
"BG","EU28",2015-12-31,74
"BG","FI",2015-12-31,0
"BG","FR",2015-12-31,4
"BG","HR",2015-12-31,0
"BG","IE",2015-12-31,0
"BG","IS",2015-12-31,0
"BG","IT",2015-12-31,5
"BG","LI",2015-12-31,0
"BG","LT",2015-12-31,0
"BG","LU",2015-12-31,0
"BG","LV",2015-12-31,0
"BG","MT",2015-12-31,0
"BG","NL",2015-12-31,1
"BG","NO",2015-12-31,3
"BG","PL",2015-12-31,2
"BG","PT",2015-12-31,0
"BG","RO",2015-12-31,0
"BG","SE",2015-12-31,1
"BG","SI",2015-12-31,0
"BG","SK",2015-12-31,0
"BG","TOTAL",2015-12-31,79
"BG","UK",2015-12-31,26
"CH","AT",2015-12-31,289
"CH","BE",2015-12-31,89
"CH","BG",2015-12-31,220
"CH","CH",2015-12-31,0
"CH","CY",2015-12-31,4
"CH","DE",2015-12-31,1209
"CH","DK",2015-12-31,27
"CH","EE",2015-12-31,10
"CH","EL",2015-12-31,105
"CH","EU28",2015-12-31,12315
"CH","FI",2015-12-31,29
"CH","FR",2015-12-31,523
"CH","HR",2015-12-31,277
"CH","IE",2015-12-31,0
"CH","IS",2015-12-31,0
"CH","IT",2015-12-31,8713
"CH","LI",2015-12-31,1
"CH","LT",2015-12-31,41
"CH","LU",2015-12-31,7
"CH","LV",2015-12-31,13
"CH","MT",2015-12-31,20
"CH","NL",2015-12-31,110
"CH","NO",2015-12-31,56
"CH","PL",2015-12-31,126
"CH","PT",2015-12-31,26
"CH","RO",2015-12-31,14
"CH","SE",2015-12-31,84
"CH","SI",2015-12-31,320
"CH","SK",2015-12-31,16
"CH","TOTAL",2015-12-31,12372
"CH","UK",2015-12-31,43
"CY","AT",2015-12-31,2
"CY","BE",2015-12-31,1
"CY","BG",2015-12-31,0
"CY","CH",2015-12-31,1
"CY","CY",2015-12-31,0
"CY","DE",2015-12-31,18
"CY","DK",2015-12-31,7
"CY","EE",2015-12-31,0
"CY","EL",2015-12-31,0
"CY","EU28",2015-12-31,81
"CY","FI",2015-12-31,0
"CY","FR",2015-12-31,7
"CY","HR",2015-12-31,0
"CY","IE",2015-12-31,0
"CY","IS",2015-12-31,0
"CY","IT",2015-12-31,2
"CY","LI",2015-12-31,0
"CY","LT",2015-12-31,1
"CY","LU",2015-12-31,0
"CY","LV",2015-12-31,0
"CY","MT",2015-12-31,0
"CY","NL",2015-12-31,5
"CY","NO",2015-12-31,4
"CY","PL",2015-12-31,0
"CY","PT",2015-12-31,1
"CY","RO",2015-12-31,0
"CY","SE",2015-12-31,20
"CY","SI",2015-12-31,0
"CY","SK",2015-12-31,0
"CY","TOTAL",2015-12-31,86
"CY","UK",2015-12-31,17
"CZ","AT",2015-12-31,87
"CZ","BE",2015-12-31,5
"CZ","BG",2015-12-31,50
"CZ","CH",2015-12-31,15
"CZ","CY",2015-12-31,4
"CZ","DE",2015-12-31,28
"CZ","DK",2015-12-31,4
"CZ","EE",2015-12-31,6
"CZ","EL",2015-12-31,0
"CZ","EU28",2015-12-31,365
"CZ","FI",2015-12-31,2
"CZ","FR",2015-12-31,18
"CZ","HR",2015-12-31,0
"CZ","IE",2015-12-31,0
"CZ","IS",2015-12-31,0
"CZ","IT",2015-12-31,31
"CZ","LI",2015-12-31,0
"CZ","LT",2015-12-31,20
"CZ","LU",2015-12-31,0
"CZ","LV",2015-12-31,2
"CZ","MT",2015-12-31,0
"CZ","NL",2015-12-31,4
"CZ","NO",2015-12-31,3
"CZ","PL",2015-12-31,82
"CZ","PT",2015-12-31,1
"CZ","RO",2015-12-31,2
"CZ","SE",2015-12-31,7
"CZ","SI",2015-12-31,1
"CZ","SK",2015-12-31,9
"CZ","TOTAL",2015-12-31,383
"CZ","UK",2015-12-31,2
"DE","AT",2015-12-31,1875
"DE","BE",2015-12-31,870
"DE","BG",2015-12-31,3949
"DE","CH",2015-12-31,1250
"DE","CY",2015-12-31,46
"DE","DE",2015-12-31,0
"DE","DK",2015-12-31,451
"DE","EE",2015-12-31,52
"DE","EL",2015-12-31,7
"DE","EU28",2015-12-31,24428
"DE","FI",2015-12-31,84
"DE","FR",2015-12-31,1993
"DE","HR",2015-12-31,49
"DE","IE",2015-12-31,5
"DE","IS",2015-12-31,0
"DE","IT",2015-12-31,8492
"DE","LI",2015-12-31,1
"DE","LT",2015-12-31,305
"DE","LU",2015-12-31,54
"DE","LV",2015-12-31,64
"DE","MT",2015-12-31,136
"DE","NL",2015-12-31,746
"DE","NO",2015-12-31,459
"DE","PL",2015-12-31,3658
"DE","PT",2015-12-31,45
"DE","RO",2015-12-31,289
"DE","SE",2015-12-31,1003
"DE","SI",2015-12-31,42
"DE","SK",2015-12-31,112
"DE","TOTAL",2015-12-31,26138
"DE","UK",2015-12-31,101
"DK","AT",2015-12-31,95
"DK","BE",2015-12-31,21
"DK","BG",2015-12-31,124
"DK","CH",2015-12-31,151
"DK","CY",2015-12-31,10
