"partner","geo","time","values"
"AT","AT",2015-12-31,0
"AT","BE",2015-12-31,191
"AT","BG",2015-12-31,4
"AT","CH",2015-12-31,291
"AT","DE",2015-12-31,1846
"AT","DK",2015-12-31,91
"AT","EE",2015-12-31,0
"AT","EL",2015-12-31,37
"AT","EU28",2015-12-31,4082
"AT","FI",2015-12-31,102
"AT","FR",2015-12-31,382
"AT","HR",2015-12-31,1
"AT","IE",2015-12-31,11
"AT","IS",2015-12-31,0
"AT","IT",2015-12-31,324
"AT","LU",2015-12-31,15
"AT","LV",2015-12-31,0
"AT","MT",2015-12-31,1
"AT","NL",2015-12-31,92
"AT","NO",2015-12-31,147
"AT","PL",2015-12-31,9
"AT","PT",2015-12-31,0
"AT","RO",2015-12-31,4
"AT","SE",2015-12-31,694
"AT","SI",2015-12-31,10
"AT","SK",2015-12-31,15
"AT","TOTAL",2015-12-31,4520
"AT","UK",2015-12-31,253
"BE","AT",2015-12-31,69
"BE","BE",2015-12-31,0
"BE","BG",2015-12-31,0
"BE","CH",2015-12-31,88
"BE","DE",2015-12-31,862
"BE","DK",2015-12-31,19
"BE","EE",2015-12-31,0
"BE","EL",2015-12-31,27
"BE","EU28",2015-12-31,1945
"BE","FI",2015-12-31,21
"BE","FR",2015-12-31,463
"BE","HR",2015-12-31,0
"BE","IE",2015-12-31,3
"BE","IS",2015-12-31,6
"BE","IT",2015-12-31,129
"BE","LU",2015-12-31,22
"BE","LV",2015-12-31,1
"BE","MT",2015-12-31,1
"BE","NL",2015-12-31,128
"BE","NO",2015-12-31,25
"BE","PL",2015-12-31,8
"BE","PT",2015-12-31,0
"BE","RO",2015-12-31,1
"BE","SE",2015-12-31,81
"BE","SI",2015-12-31,6
"BE","SK",2015-12-31,0
"BE","TOTAL",2015-12-31,2064
"BE","UK",2015-12-31,104
"BG","AT",2015-12-31,1570
"BG","BE",2015-12-31,256
"BG","BG",2015-12-31,0
"BG","CH",2015-12-31,275
"BG","DE",2015-12-31,4644
"BG","DK",2015-12-31,137
"BG","EE",2015-12-31,0
"BG","EL",2015-12-31,12
"BG","EU28",2015-12-31,8526
"BG","FI",2015-12-31,95
"BG","FR",2015-12-31,363
"BG","HR",2015-12-31,4
"BG","IE",2015-12-31,5
"BG","IS",2015-12-31,0
"BG","IT",2015-12-31,546
"BG","LU",2015-12-31,2
"BG","LV",2015-12-31,0
"BG","MT",2015-12-31,3
"BG","NL",2015-12-31,92
"BG","NO",2015-12-31,194
"BG","PL",2015-12-31,2
"BG","PT",2015-12-31,0
"BG","RO",2015-12-31,37
"BG","SE",2015-12-31,416
"BG","SI",2015-12-31,4
"BG","SK",2015-12-31,7
"BG","TOTAL",2015-12-31,8995
"BG","UK",2015-12-31,331
"CH","AT",2015-12-31,198
"CH","BE",2015-12-31,123
"CH","BG",2015-12-31,1
"CH","CH",2015-12-31,0
"CH","DE",2015-12-31,1122
"CH","DK",2015-12-31,122
"CH","EE",2015-12-31,0
"CH","EL",2015-12-31,83
"CH","EU28",2015-12-31,2553
"CH","FI",2015-12-31,48
"CH","FR",2015-12-31,313
"CH","HR",2015-12-31,1
"CH","IE",2015-12-31,8
"CH","IS",2015-12-31,0
"CH","IT",2015-12-31,92
"CH","LU",2015-12-31,25
"CH","LV",2015-12-31,1
"CH","MT",2015-12-31,2
"CH","NL",2015-12-31,83
"CH","NO",2015-12-31,82
"CH","PL",2015-12-31,5
"CH","PT",2015-12-31,0
"CH","RO",2015-12-31,1
"CH","SE",2015-12-31,272
"CH","SI",2015-12-31,2
"CH","SK",2015-12-31,4
"CH","TOTAL",2015-12-31,2635
"CH","UK",2015-12-31,47
"CY","AT",2015-12-31,12
"CY","BE",2015-12-31,3
"CY","BG",2015-12-31,1
"CY","CH",2015-12-31,5
"CY","DE",2015-12-31,50
"CY","DK",2015-12-31,10
"CY","EE",2015-12-31,0
"CY","EL",2015-12-31,3
"CY","EU28",2015-12-31,153
"CY","FI",2015-12-31,2
"CY","FR",2015-12-31,4
"CY","HR",2015-12-31,0
"CY","IE",2015-12-31,0
"CY","IS",2015-12-31,0
"CY","IT",2015-12-31,11
"CY","LU",2015-12-31,1
"CY","LV",2015-12-31,0
"CY","MT",2015-12-31,1
"CY","NL",2015-12-31,9
"CY","NO",2015-12-31,13
"CY","PL",2015-12-31,0
"CY","PT",2015-12-31,0
"CY","RO",2015-12-31,10
"CY","SE",2015-12-31,20
"CY","SI",2015-12-31,0
"CY","SK",2015-12-31,0
"CY","TOTAL",2015-12-31,171
"CY","UK",2015-12-31,16
"CZ","AT",2015-12-31,55
"CZ","BE",2015-12-31,45
"CZ","BG",2015-12-31,0
"CZ","CH",2015-12-31,42
"CZ","DE",2015-12-31,213
"CZ","DK",2015-12-31,9
"CZ","EE",2015-12-31,0
"CZ","EL",2015-12-31,1
"CZ","EU28",2015-12-31,566
"CZ","FI",2015-12-31,10
"CZ","FR",2015-12-31,90
"CZ","HR",2015-12-31,2
"CZ","IE",2015-12-31,0
"CZ","IS",2015-12-31,0
"CZ","IT",2015-12-31,25
"CZ","LU",2015-12-31,2
"CZ","LV",2015-12-31,0
"CZ","MT",2015-12-31,0
"CZ","NL",2015-12-31,18
"CZ","NO",2015-12-31,12
"CZ","PL",2015-12-31,1
"CZ","PT",2015-12-31,3
"CZ","RO",2015-12-31,0
"CZ","SE",2015-12-31,86
"CZ","SI",2015-12-31,2
"CZ","SK",2015-12-31,1
"CZ","TOTAL",2015-12-31,620
"CZ","UK",2015-12-31,3
"DE","AT",2015-12-31,469
"DE","BE",2015-12-31,976
"DE","BG",2015-12-31,21
"DE","CH",2015-12-31,1345
"DE","DE",2015-12-31,0
"DE","DK",2015-12-31,467
"DE","EE",2015-12-31,2
"DE","EL",2015-12-31,598
"DE","EU28",2015-12-31,9157
"DE","FI",2015-12-31,301
"DE","FR",2015-12-31,1355
"DE","HR",2015-12-31,1
"DE","IE",2015-12-31,14
"DE","IS",2015-12-31,20
"DE","IT",2015-12-31,234
"DE","LU",2015-12-31,113
"DE","LV",2015-12-31,0
"DE","MT",2015-12-31,4
"DE","NL",2015-12-31,1976
"DE","NO",2015-12-31,716
"DE","PL",2015-12-31,78
"DE","PT",2015-12-31,4
"DE","RO",2015-12-31,12
"DE","SE",2015-12-31,2313
"DE","SI",2015-12-31,6
"DE","SK",2015-12-31,6
"DE","TOTAL",2015-12-31,11238
"DE","UK",2015-12-31,207
"DK","AT",2015-12-31,20
"DK","BE",2015-12-31,47
"DK","BG",2015-12-31,1
"DK","CH",2015-12-31,26
"DK","DE",2015-12-31,441
"DK","DK",2015-12-31,0
"DK","EE",2015-12-31,0
"DK","EL",2015-12-31,20
"DK","EU28",2015-12-31,1198
"DK","FI",2015-12-31,88
"DK","FR",2015-12-31,114
"DK","HR",2015-12-31,0
"DK","IE",2015-12-31,0
"DK","IS",2015-12-31,5
"DK","IT",2015-12-31,33
"DK","LU",2015-12-31,4
"DK","LV",2015-12-31,0
"DK","MT",2015-12-31,0
"DK","NL",2015-12-31,26
"DK","NO",2015-12-31,64
"DK","PL",2015-12-31,3
"DK","PT",2015-12-31,0
"DK","RO",2015-12-31,1
"DK","SE",2015-12-31,365
"DK","SI",2015-12-31,0
"DK","SK",2015-12-31,0
"DK","TOTAL",2015-12-31,1293
"DK","UK",2015-12-31,35
"EE","AT",2015-12-31,3
"EE","BE",2015-12-31,12
"EE","BG",2015-12-31,0
"EE","CH",2015-12-31,10
"EE","DE",2015-12-31,56
"EE","DK",2015-12-31,4
"EE","EE",2015-12-31,0
"EE","EL",2015-12-31,3
"EE","EU28",2015-12-31,157
"EE","FI",2015-12-31,21
"EE","FR",2015-12-31,15
"EE","HR",2015-12-31,0
"EE","IE",2015-12-31,0
"EE","IS",2015-12-31,0
"EE","IT",2015-12-31,18
"EE","LU",2015-12-31,0
"EE","LV",2015-12-31,3
"EE","MT",2015-12-31,0
"EE","NL",2015-12-31,4
"EE","NO",2015-12-31,2
"EE","PL",2015-12-31,1
"EE","PT",2015-12-31,3
"EE","RO",2015-12-31,0
"EE","SE",2015-12-31,14
"EE","SI",2015-12-31,0
"EE","SK",2015-12-31,0
"EE","TOTAL",2015-12-31,169
"EE","UK",2015-12-31,0
"EL","AT",2015-12-31,3
"EL","BE",2015-12-31,5
"EL","BG",2015-12-31,0
"EL","CH",2015-12-31,112
"EL","DE",2015-12-31,0
"EL","DK",2015-12-31,0
"EL","EE",2015-12-31,0
"EL","EL",2015-12-31,0
"EL","EU28",2015-12-31,248
"EL","FI",2015-12-31,4
"EL","FR",2015-12-31,10
"EL","HR",2015-12-31,0
"EL","IE",2015-12-31,0
"EL","IS",2015-12-31,0
"EL","IT",2015-12-31,218
"EL","LU",2015-12-31,0
"EL","LV",2015-12-31,0
"EL","MT",2015-12-31,0
"EL","NL",2015-12-31,6
"EL","NO",2015-12-31,0
"EL","PL",2015-12-31,0
"EL","PT",2015-12-31,1
"EL","RO",2015-12-31,0
"EL","SE",2015-12-31,0
"EL","SI",2015-12-31,1
"EL","SK",2015-12-31,0
"EL","TOTAL",2015-12-31,360
"EL","UK",2015-12-31,0
"ES","AT",2015-12-31,110
"ES","BE",2015-12-31,975
"ES","BG",2015-12-31,0
"ES","CH",2015-12-31,449
"ES","DE",2015-12-31,2033
"ES","DK",2015-12-31,114
"ES","EE",2015-12-31,0
"ES","EL",2015-12-31,3
"ES","EU28",2015-12-31,4971
"ES","FI",2015-12-31,70
"ES","FR",2015-12-31,1007
"ES","HR",2015-12-31,1
"ES","IE",2015-12-31,1
"ES","IS",2015-12-31,3
"ES","IT",2015-12-31,86
"ES","LU",2015-12-31,38
"ES","LV",2015-12-31,0
"ES","MT",2015-12-31,10
"ES","NL",2015-12-31,211
"ES","NO",2015-12-31,96
"ES","PL",2015-12-31,5
"ES","PT",2015-12-31,15
"ES","RO",2015-12-31,0
"ES","SE",2015-12-31,267
"ES","SI",2015-12-31,0
"ES","SK",2015-12-31,0
"ES","TOTAL",2015-12-31,5519
"ES","UK",2015-12-31,25
"EU28","AT",2015-12-31,16685
"EU28","BE",2015-12-31,5790
"EU28","BG",2015-12-31,62
"EU28","CH",2015-12-31,16039
"EU28","DE",2015-12-31,42663
"EU28","DK",2015-12-31,2778
"EU28","EE",2015-12-31,24
"EU28","EL",2015-12-31,994
"EU28","EU28",2015-12-31,107291
"EU28","FI",2015-12-31,1510
"EU28","FR",2015-12-31,11177
"EU28","HR",2015-12-31,19
"EU28","IE",2015-12-31,609
"EU28","IS",2015-12-31,96
"EU28","IT",2015-12-31,4725
"EU28","LU",2015-12-31,412
"EU28","LV",2015-12-31,12
"EU28","MT",2015-12-31,96
"EU28","NL",2015-12-31,4682
"EU28","NO",2015-12-31,3389
"EU28","PL",2015-12-31,213
"EU28","PT",2015-12-31,98
"EU28","RO",2015-12-31,85
"EU28","SE",2015-12-31,10645
"EU28","SI",2015-12-31,90
"EU28","SK",2015-12-31,544
"EU28","TOTAL",2015-12-31,126815
