"partner","geo","time","values"
"AT","AT",2015-12-31,0
"AT","BG",2015-12-31,0
"AT","CH",2015-12-31,110
"AT","DE",2015-12-31,151
"AT","EE",2015-12-31,0
"AT","EL",2015-12-31,26
"AT","FI",2015-12-31,0
"AT","FR",2015-12-31,22
"AT","IE",2015-12-31,0
"AT","IT",2015-12-31,5
"AT","LI",2015-12-31,0
"AT","LU",2015-12-31,10
"AT","MT",2015-12-31,0
"AT","NO",2015-12-31,56
"AT","PL",2015-12-31,0
"AT","PT",2015-12-31,0
"AT","RO",2015-12-31,0
"AT","SE",2015-12-31,79
"AT","SI",2015-12-31,1
"AT","SK",2015-12-31,4
"BE","AT",2015-12-31,24
"BE","BG",2015-12-31,0
"BE","CH",2015-12-31,40
"BE","DE",2015-12-31,126
"BE","EE",2015-12-31,0
"BE","EL",2015-12-31,16
"BE","FI",2015-12-31,0
"BE","FR",2015-12-31,40
"BE","IE",2015-12-31,0
"BE","IT",2015-12-31,5
"BE","LI",2015-12-31,0
"BE","LU",2015-12-31,15
"BE","MT",2015-12-31,0
"BE","NO",2015-12-31,5
"BE","PL",2015-12-31,0
"BE","PT",2015-12-31,0
"BE","RO",2015-12-31,1
"BE","SE",2015-12-31,27
"BE","SI",2015-12-31,0
"BE","SK",2015-12-31,0
"BG","AT",2015-12-31,64
"BG","BG",2015-12-31,0
"BG","CH",2015-12-31,29
"BG","DE",2015-12-31,31
"BG","EE",2015-12-31,0
"BG","EL",2015-12-31,4
"BG","FI",2015-12-31,0
"BG","FR",2015-12-31,9
"BG","IE",2015-12-31,0
"BG","IT",2015-12-31,0
"BG","LI",2015-12-31,0
"BG","LU",2015-12-31,0
"BG","MT",2015-12-31,0
"BG","NO",2015-12-31,16
"BG","PL",2015-12-31,0
"BG","PT",2015-12-31,0
"BG","RO",2015-12-31,1
"BG","SE",2015-12-31,26
"BG","SI",2015-12-31,0
"BG","SK",2015-12-31,4
"CH","AT",2015-12-31,42
"CH","BG",2015-12-31,0
"CH","CH",2015-12-31,0
"CH","DE",2015-12-31,94
"CH","EE",2015-12-31,0
"CH","EL",2015-12-31,42
"CH","FI",2015-12-31,0
"CH","FR",2015-12-31,16
"CH","IE",2015-12-31,2
"CH","IT",2015-12-31,0
"CH","LI",2015-12-31,7
"CH","LU",2015-12-31,8
"CH","MT",2015-12-31,0
"CH","NO",2015-12-31,30
"CH","PL",2015-12-31,0
"CH","PT",2015-12-31,0
"CH","RO",2015-12-31,0
"CH","SE",2015-12-31,38
"CH","SI",2015-12-31,0
"CH","SK",2015-12-31,0
"CY","AT",2015-12-31,2
"CY","BG",2015-12-31,0
"CY","CH",2015-12-31,0
"CY","DE",2015-12-31,0
"CY","EE",2015-12-31,0
"CY","EL",2015-12-31,0
"CY","FI",2015-12-31,0
"CY","FR",2015-12-31,0
"CY","IE",2015-12-31,0
"CY","IT",2015-12-31,0
"CY","LI",2015-12-31,0
"CY","LU",2015-12-31,0
"CY","MT",2015-12-31,0
"CY","NO",2015-12-31,2
"CY","PL",2015-12-31,0
"CY","PT",2015-12-31,0
"CY","RO",2015-12-31,0
"CY","SE",2015-12-31,1
"CY","SI",2015-12-31,0
"CY","SK",2015-12-31,0
"CZ","AT",2015-12-31,14
"CZ","BG",2015-12-31,0
"CZ","CH",2015-12-31,5
"CZ","DE",2015-12-31,16
"CZ","EE",2015-12-31,0
"CZ","EL",2015-12-31,0
"CZ","FI",2015-12-31,0
"CZ","FR",2015-12-31,0
"CZ","IE",2015-12-31,0
"CZ","IT",2015-12-31,0
"CZ","LI",2015-12-31,0
"CZ","LU",2015-12-31,1
"CZ","MT",2015-12-31,0
"CZ","NO",2015-12-31,4
"CZ","PL",2015-12-31,1
"CZ","PT",2015-12-31,0
"CZ","RO",2015-12-31,0
"CZ","SE",2015-12-31,15
"CZ","SI",2015-12-31,0
"CZ","SK",2015-12-31,1
"DE","AT",2015-12-31,109
"DE","BG",2015-12-31,10
"DE","CH",2015-12-31,258
"DE","DE",2015-12-31,0
"DE","EE",2015-12-31,2
"DE","EL",2015-12-31,520
"DE","FI",2015-12-31,0
"DE","FR",2015-12-31,123
"DE","IE",2015-12-31,0
"DE","IT",2015-12-31,3
"DE","LI",2015-12-31,0
"DE","LU",2015-12-31,36
"DE","MT",2015-12-31,3
"DE","NO",2015-12-31,235
"DE","PL",2015-12-31,14
"DE","PT",2015-12-31,0
"DE","RO",2015-12-31,4
"DE","SE",2015-12-31,752
"DE","SI",2015-12-31,2
"DE","SK",2015-12-31,2
"DK","AT",2015-12-31,1
"DK","BG",2015-12-31,1
"DK","CH",2015-12-31,10
"DK","DE",2015-12-31,37
"DK","EE",2015-12-31,0
"DK","EL",2015-12-31,5
"DK","FI",2015-12-31,0
"DK","FR",2015-12-31,2
"DK","IE",2015-12-31,0
"DK","IT",2015-12-31,1
"DK","LI",2015-12-31,0
"DK","LU",2015-12-31,0
"DK","MT",2015-12-31,0
"DK","NO",2015-12-31,25
"DK","PL",2015-12-31,0
"DK","PT",2015-12-31,0
"DK","RO",2015-12-31,0
"DK","SE",2015-12-31,86
"DK","SI",2015-12-31,0
"DK","SK",2015-12-31,0
"EE","AT",2015-12-31,5
"EE","BG",2015-12-31,0
"EE","CH",2015-12-31,6
"EE","DE",2015-12-31,1
"EE","EE",2015-12-31,0
"EE","EL",2015-12-31,0
"EE","FI",2015-12-31,0
"EE","FR",2015-12-31,0
"EE","IE",2015-12-31,0
"EE","IT",2015-12-31,0
"EE","LI",2015-12-31,0
"EE","LU",2015-12-31,0
"EE","MT",2015-12-31,0
"EE","NO",2015-12-31,2
"EE","PL",2015-12-31,0
"EE","PT",2015-12-31,0
"EE","RO",2015-12-31,0
"EE","SE",2015-12-31,9
"EE","SI",2015-12-31,0
"EE","SK",2015-12-31,0
"EL","AT",2015-12-31,0
"EL","BG",2015-12-31,0
"EL","CH",2015-12-31,12
"EL","DE",2015-12-31,0
"EL","EE",2015-12-31,0
"EL","EL",2015-12-31,0
"EL","FI",2015-12-31,0
"EL","FR",2015-12-31,0
"EL","IE",2015-12-31,0
"EL","IT",2015-12-31,0
"EL","LI",2015-12-31,0
"EL","LU",2015-12-31,0
"EL","MT",2015-12-31,0
"EL","NO",2015-12-31,0
"EL","PL",2015-12-31,0
"EL","PT",2015-12-31,0
"EL","RO",2015-12-31,0
"EL","SE",2015-12-31,0
"EL","SI",2015-12-31,0
"EL","SK",2015-12-31,0
"ES","AT",2015-12-31,35
"ES","BG",2015-12-31,0
"ES","CH",2015-12-31,232
"ES","DE",2015-12-31,140
"ES","EE",2015-12-31,0
"ES","EL",2015-12-31,5
"ES","FI",2015-12-31,0
"ES","FR",2015-12-31,127
"ES","IE",2015-12-31,0
"ES","IT",2015-12-31,0
"ES","LI",2015-12-31,1
"ES","LU",2015-12-31,16
"ES","MT",2015-12-31,0
"ES","NO",2015-12-31,64
"ES","PL",2015-12-31,0
"ES","PT",2015-12-31,0
"ES","RO",2015-12-31,0
"ES","SE",2015-12-31,78
"ES","SI",2015-12-31,0
"ES","SK",2015-12-31,0
"FI","AT",2015-12-31,3
"FI","BG",2015-12-31,0
"FI","CH",2015-12-31,4
"FI","DE",2015-12-31,5
"FI","EE",2015-12-31,0
"FI","EL",2015-12-31,14
"FI","FI",2015-12-31,0
"FI","FR",2015-12-31,0
"FI","IE",2015-12-31,0
"FI","IT",2015-12-31,0
"FI","LI",2015-12-31,0
"FI","LU",2015-12-31,0
"FI","MT",2015-12-31,0
"FI","NO",2015-12-31,1
"FI","PL",2015-12-31,0
"FI","PT",2015-12-31,0
"FI","RO",2015-12-31,0
"FI","SE",2015-12-31,37
"FI","SI",2015-12-31,0
"FI","SK",2015-12-31,1
"FR","AT",2015-12-31,37
"FR","BG",2015-12-31,0
"FR","CH",2015-12-31,251
"FR","DE",2015-12-31,208
"FR","EE",2015-12-31,0
"FR","EL",2015-12-31,1
"FR","FI",2015-12-31,0
"FR","FR",2015-12-31,0
"FR","IE",2015-12-31,0
"FR","IT",2015-12-31,2
"FR","LI",2015-12-31,0
"FR","LU",2015-12-31,9
"FR","MT",2015-12-31,0
"FR","NO",2015-12-31,52
"FR","PL",2015-12-31,0
"FR","PT",2015-12-31,1
"FR","RO",2015-12-31,4
"FR","SE",2015-12-31,140
"FR","SI",2015-12-31,1
"FR","SK",2015-12-31,0
"HR","AT",2015-12-31,9
"HR","BG",2015-12-31,0
"HR","CH",2015-12-31,5
"HR","DE",2015-12-31,3
"HR","EE",2015-12-31,0
"HR","EL",2015-12-31,0
"HR","FI",2015-12-31,0
"HR","FR",2015-12-31,2
"HR","IE",2015-12-31,0
"HR","IT",2015-12-31,0
"HR","LI",2015-12-31,0
"HR","LU",2015-12-31,0
"HR","MT",2015-12-31,0
"HR","NO",2015-12-31,1
"HR","PL",2015-12-31,0
"HR","PT",2015-12-31,0
"HR","RO",2015-12-31,0
"HR","SE",2015-12-31,2
"HR","SI",2015-12-31,1
"HR","SK",2015-12-31,0
"HU","AT",2015-12-31,398
"HU","BG",2015-12-31,0
"HU","CH",2015-12-31,94
"HU","DE",2015-12-31,139
"HU","EE",2015-12-31,0
"HU","EL",2015-12-31,0
"HU","FI",2015-12-31,0
"HU","FR",2015-12-31,41
"HU","IE",2015-12-31,0
"HU","IT",2015-12-31,1
"HU","LI",2015-12-31,0
"HU","LU",2015-12-31,12
"HU","MT",2015-12-31,0
"HU","NO",2015-12-31,28
"HU","PL",2015-12-31,0
"HU","PT",2015-12-31,0
"HU","RO",2015-12-31,0
"HU","SE",2015-12-31,173
"HU","SI",2015-12-31,0
"HU","SK",2015-12-31,335
"IE","AT",2015-12-31,0
"IE","BG",2015-12-31,0
"IE","CH",2015-12-31,0
"IE","DE",2015-12-31,1
"IE","EE",2015-12-31,0
"IE","EL",2015-12-31,3
"IE","FI",2015-12-31,0
"IE","FR",2015-12-31,0
"IE","IE",2015-12-31,0
